method,n,accuracy,c2w_risk_n,c2w_flip_count,c2w_flip_rate,both_wrong_n,w2c_count,w2c_recovery_rate,preservation_rate,candidate_oracle_possible,oracle_gap,mean_method_tokens,mean_method_duration_seconds
4cand_confidence,1000,0.23,338,110,0.3254437869822485,662,2,0.0030211480362537,0.6745562130177515,0.515,0.285,2825.073,74.9703744775
overall_reliability,1000,0.41,338,71,0.2100591715976331,662,143,0.216012084592145,0.7899408284023669,0.515,0.105,2825.073,74.9703744775
agent_topic_reliability,1000,0.41,338,69,0.2041420118343195,662,141,0.2129909365558912,0.7958579881656804,0.515,0.105,2825.073,74.9703744775
pac_math_anchor_gate,1000,0.274,338,64,0.1893491124260355,662,0,0.0,0.8106508875739645,0.515,0.241,2825.073,74.9703744775
pac_math_cross_stage_support,1000,0.279,338,59,0.1745562130177514,662,0,0.0,0.8254437869822485,0.515,0.236,2825.073,74.9703744775
pac_math_cross_agent_anchor_gate,1000,0.327,338,66,0.1952662721893491,662,55,0.0830815709969788,0.8047337278106509,0.515,0.188,2825.073,74.9703744775
pac_math_pair_topic_stage_support_sum,1000,0.354,338,61,0.1804733727810651,662,77,0.1163141993957704,0.8195266272189349,0.515,0.161,2825.073,74.9703744775
pac_math_router_balanced,1000,0.41,338,68,0.2011834319526627,662,140,0.2114803625377643,0.7988165680473372,0.515,0.105,2825.073,74.9703744775
pac_math_router_accuracy,1000,0.408,338,68,0.2011834319526627,662,138,0.2084592145015106,0.7988165680473372,0.515,0.107,2825.073,74.9703744775
pac_math_safety_first,1000,0.386,338,72,0.2130177514792899,662,120,0.1812688821752265,0.7869822485207101,0.515,0.129,2825.073,74.9703744775
